1,1
2,2
3,3
4,4
8,8
10,10
12,12
13,13
14,14
16,16
19,19
20,20
21,21
22,22
24,24
27,27
31,31
36,36
38,38
39,39
42,42
48,48
50,50
53,53
57,57
61,61
62,62
65,65
66,66
69,69
72,72
73,73
76,76
77,77
81,81
83,83
85,85
89,89
90,90
91,91
92,92
93,93
94,94
96,96
97,97
103,103
104,104
105,105
106,106
107,107
108,108
110,110
111,111
115,115
119,119
120,120
121,121
124,124
126,126
127,127
128,128
129,129
130,130
131,131
133,133
134,134
136,136
137,137
139,139
141,141
142,142
147,147
150,150
153,153
154,154
156,156
157,157
159,159
161,161
162,162
163,163
165,165
169,169
172,172
173,173
175,175
176,176
179,179
180,180
181,181
182,182
183,183
184,184
188,188
191,191
192,192
197,197
198,198
204,204
205,205
206,206
207,207
208,208
209,209
212,212
214,214
215,215
217,217
218,218
219,219
220,220
221,221
222,222
223,223
224,224
226,226
227,227
228,228
229,229
230,230
231,231
233,233
234,234
235,235
236,236
238,238
242,242
243,243
244,244
246,246
253,253
256,256
263,263
265,265
266,266
267,267
268,268
269,269
270,270
271,271
282,282
283,283
284,284
288,288
289,289
290,290
291,291
293,293
294,294
295,295
297,297
298,298
302,302
303,303
304,304
305,305
308,308
309,309
310,310
312,312
317,317
318,318
320,320
322,322
323,323
325,325
332,332
335,335
336,336
337,337
342,342
344,344
345,345
346,346
348,348
351,351
354,354
357,357
358,358
360,360
361,361
362,362
365,365
370,370
371,371
373,373
374,374
375,375
376,376
377,377
379,379
382,382
387,387
388,388
390,390
394,394
395,395
398,398
402,402
404,404
405,405
406,406
409,409
411,411
413,413
414,414
415,415
416,416
418,418
419,419
421,421
422,422
423,423
430,430
432,432
433,433
434,434
436,436
437,437
438,438
440,440
441,441
443,443
447,447
449,449
450,450
452,452
453,453
455,455
456,456
457,457
458,458
459,459
460,460
464,464
465,465
466,466
467,467
471,471
472,472
474,474
476,476
480,480
482,482
483,483
484,484
486,486
487,487
489,489
491,491
492,492
493,493
495,495
497,497
498,498
500,500
501,501
502,502
504,504
505,505
506,506
507,507
511,511
512,512
513,513
514,514
520,520
523,523
528,528
530,530
532,532
533,533
534,534
535,535
536,536
538,538
541,541
549,549
550,550
552,552
553,553
555,555
559,559
561,561
564,564
568,568
569,569
570,570
571,571
572,572
573,573
574,574
575,575
576,576
580,580
581,581
582,582
584,584
585,585
586,586
587,587
588,588
589,589
590,590
591,591
603,603
604,604
611,611
612,612
620,620
624,624
626,626
627,627
628,628
630,630
632,632
633,633
637,637
639,639
642,642
644,644
646,646
647,647
648,648
649,649
653,653
658,658
660,660
665,665
667,667
669,669
670,670
672,672
673,673
674,674
676,676
681,681
682,682
683,683
686,686
688,688
690,690
700,700
703,703
706,706
707,707
711,711
714,714
715,715
716,716
718,718
719,719
720,720
724,724
725,725
727,727
728,728
729,729
730,730
733,733
736,736
737,737
738,738
740,740
741,741
742,742
743,743
745,745
749,749
750,750
752,752
753,753
754,754
755,755
757,757
760,760
765,765
766,766
767,767
768,768
769,769
774,774
775,775
776,776
777,777
778,778
784,784
785,785
787,787
789,789
790,790
794,794
795,795
796,796
797,797
800,800
801,801
802,802
803,803
808,808
809,809
810,810
813,813
814,814
816,816
817,817
820,820
825,825
828,828
829,829
830,830
836,836
837,837
839,839
840,840
844,844
845,845
846,846
847,847
848,848
850,850
853,853
855,855
858,858
859,859
860,860
861,861
862,862
864,864
868,868
870,870
871,871
872,872
877,877
879,879
880,880
882,882
884,884
885,885
886,886
887,887
888,888
889,889
890,890
891,891
892,892
894,894
901,901
902,902
904,904
906,906
908,908
909,909
914,914
917,917
918,918
919,919
920,920
921,921
926,926
927,927
929,929
930,930
931,931
933,933
936,936
937,937
938,938
939,939
940,940
941,941
942,942
945,945
946,946
948,948
949,949
952,952
953,953
957,957
958,958
960,960
962,962
965,965
968,968
969,969
970,970
971,971
972,972
973,973
976,976
978,978
982,982
983,983
987,987
988,988
995,995
998,998
1000,1000
1002,1002
1005,1005
1006,1006
1013,1013
1015,1015
1019,1019
1020,1020
1023,1023
1024,1024
1026,1026
1029,1029
1030,1030
1031,1031
1032,1032
1033,1033
1034,1034
1035,1035
1037,1037
1038,1038
1043,1043
1046,1046
1049,1049
1050,1050
1051,1051
1052,1052
1057,1057
1063,1063
1065,1065
1067,1067
1076,1076
1078,1078
1081,1081
1082,1082
1083,1083
1084,1084
1086,1086
1088,1088
1090,1090
1091,1091
1093,1093
1094,1094
1096,1096
1098,1098
1100,1100
1101,1101
